sc_gid,latitude,longitude,country,state,county,elevation_m,timezone,sc_point_gid,sc_row_ind,sc_col_ind,res_gids,gen_gids,gid_counts,n_gids,offshore,capacity_factor_ac,capacity_factor_dc,lcoe_site_usd_per_mwh,resource,area_developable_sq_km,capacity_ac_mw,capacity_dc_mw,multiplier_cc_eos,multiplier_cc_regional,annual_energy_site_mwh,cost_site_occ_usd_per_ac_mw,cost_base_occ_usd_per_ac_mw,cost_site_foc_usd_per_ac_mw,cost_base_foc_usd_per_ac_mw,cost_site_voc_usd_per_ac_mw,cost_base_voc_usd_per_ac_mw,fixed_charge_rate,mean_capital_cost,mean_fixed_operating_cost,mean_system_capacity,mean_fixed_charge_rate,mean_variable_operating_cost,reeds_region,slope,res_class,trans_gid,trans_type,dist_spur_km,dist_export_km,dist_reinforcement_km,cost_spur_usd_per_mw,cost_poi_usd_per_mw,cost_export_usd_per_mw,cost_reinforcement_usd_per_mw,cost_total_trans_usd_per_mw,lcot_usd_per_mwh,lcoe_all_in_usd_per_mwh,latitude_poi,longitude_poi,latitude_reinforcement_poi,longitude_reinforcement_poi
0,41.99292076811808,-71.80788736558492,United States,Rhode Island,Providence,194.64,-5,1,0,1,[18],[7],[265.0],530,,0.16822006,,138.35606560785533,4.0999994,2.1465,67.61475,,1,1,99637.61682937996,1988.3599853515627,,13.0,,0.0,,0.096,39767200.0,260000.0,20000.0,0.096,0.0,31.0,1.571124,2,43413,TransLine,3.972347995401413,,,,,,,4172.348,0.2718128,138.62788,,,,
1,41.993086159675855,-71.73837273978268,United States,Rhode Island,Providence,165.91333,-5,2,0,2,"[18, 40, 69]","[7, 22, 40]","[139.0, 360.0, 175.0]",1274,,0.16851938,,138.11034082363233,4.110074,5.4594,171.97109999999998,,1,1,253868.85374111505,1988.3599853515625,,12.999999999999998,,0.0,,0.096000016,39767200.0,260000.0,20000.0,0.096000016,0.0,31.0,1.5406051,2,43413,TransLine,0.7540004546878388,,,,,,,954.0004,0.062039156,138.17238,,,,
2,41.99320945764307,-71.66885760530704,United States,Rhode Island,Providence,135.3,-5,3,0,3,[69],[40],[351.0],459,,0.16869211,,137.96889811933158,4.11,2.8430999999999997,89.55765,,1,1,132343.18150416468,1988.3599853515625,,13.000000000000002,,0.0,,0.096,39767200.0,260000.0,20000.0,0.096,0.0,31.0,2.1657057,2,43451,TransLine,1.5076877294788893,,,,,,,1707.6877,0.11093812,138.07983,,,,
3,41.9410632428119,-71.8076377748881,United States,Rhode Island,Providence,193.62,-5,17,1,1,"[18, 19]","[7, 8]","[147.0, 369.0]",1032,,0.16844063,,138.17488327789175,4.109296,4.1796,131.6574,,1,1,194265.7436213168,1988.3599853515625,,13.0,,0.0,,0.09599999,39767200.0,260000.0,20000.0,0.09599999,0.0,31.0,1.4612964,2,68784,Substation,0.9144937066562456,,,,,,,964.4937,0.06275086,138.23763,,,,
4,41.94122833556561,-71.73817950003621,United States,Rhode Island,Providence,171.67542,-5,18,1,2,"[18, 40, 69, 19, 38, 71]","[7, 22, 40, 8, 20, 41]","[60.5, 244.5, 192.5, 143.0, 436.0, 165.0]",2294,,0.16906475,,137.6648123885351,4.121429,10.05615,316.76872499999996,,1,1,469136.7526048426,1988.3599853515625,,13.000000953674316,,0.0,,0.09600001,39767200.0,260000.02,20000.0,0.09600001,0.0,31.0,1.5425836,2,43451,TransLine,3.5559857819595844,,,,,,,3755.9858,0.24346583,137.90828,,,,
5,41.941351410776015,-71.66872071805969,United States,Rhode Island,Providence,146.36082,-5,19,1,3,"[69, 71, 96]","[40, 41, 53]","[273.0, 465.0, 22.5]",1301,,0.16928221,,137.48795296768807,4.124714,6.16005,194.041575,,1,1,287746.6158857106,1988.3599853515625,,13.0,,0.0,,0.096,39767200.0,260000.0,20000.0,0.096,0.0,31.0,1.6332159,2,68838,Substation,6.0958158289953,,,,,,,6145.816,0.39786464,137.8858,,,,
6,41.889205246260715,-71.80738883919618,United States,Rhode Island,Providence,195.74666,-5,33,2,1,"[19, 13, 14]","[8, 3, 4]","[54.5, 312.0, 67.5]",868,,0.16752945,,138.92641591152486,4.0923834,3.5153999999999996,110.7351,,1,1,162510.1787933623,1988.3599853515625,,12.999999999999998,,0.0,,0.096,39767200.0,260000.0,20000.0,0.096,0.0,35.0,1.5486628,2,68784,Substation,6.258989448752088,,,,,,,6308.9893,0.41270122,139.33913,,,,
7,41.88937004068889,-71.73798676741552,United States,Rhode Island,Providence,181.49806,-5,34,2,2,"[19, 38, 71, 13, 52, 78, 14, 53, 77]","[8, 20, 41, 3, 29, 45, 4, 30, 44]","[23.0, 74.0, 21.0, 219.0, 565.0, 257.5, 43.5, 108.5, 50.5]",2724,,0.16904388,,137.6817932518966,4.1220813,11.0322,347.5143,,1,1,514607.6621034581,1988.3597412109375,,12.999999999999998,,0.0,,0.09600001,39767196.0,260000.0,20000.0,0.09600001,0.0,35.0,1.3976969,2,43451,TransLine,7.746449449954455,,,,,,,7946.449,0.51515836,138.19695,,,,
8,41.88949289349921,-71.66858419005217,United States,Rhode Island,Providence,159.6465,-5,35,2,3,"[71, 96, 78, 77, 94]","[41, 53, 45, 44, 52]","[60.5, 667.5, 300.5, 45.0, 104.5]",2356,,0.16963845,,137.19923907432204,4.132698,9.5418,300.5667,,1,1,446651.994338859,1988.3599853515625,,13.0,,0.0,,0.09600001,39767200.0,260000.0,20000.0,0.09600001,0.0,35.0,1.4165367,2,68838,Substation,10.598410336834093,,,,,,,10648.41,0.68790364,137.88713,,,,
9,41.889573803953425,-71.59918125454206,United States,Rhode Island,Providence,153.72,-5,36,2,4,[96],[53],[22.0],44,,0.16962357,,137.2112665810488,4.1320004,0.1782,5.6133,,1,1,8340.816286630332,1988.3597412109375,,13.0,,0.0,,0.09600001,39767196.0,260000.0,20000.0,0.09600001,0.0,35.0,1.5804137,2,43448,TransLine,5.6952508472861245,,,,,,,5895.251,0.38087568,137.59215,,,,
